date,active
"2021-01-11",222526
"2021-01-12",216558
"2021-01-13",214507
"2021-01-14",213603
"2021-01-15",213027
"2021-01-16",211033
"2021-01-17",208826
"2021-01-18",208012
"2021-01-19",200528
"2021-01-20",197201
"2021-01-21",192308
"2021-01-22",188688
"2021-01-23",185662
"2021-01-24",184408
"2021-01-25",184182
"2021-01-26",177266
"2021-01-27",176498
"2021-01-28",173740
"2021-01-29",171686
"2021-01-30",169824
"2021-01-31",168784
"2021-02-01",168235
"2021-02-02",163353
"2021-02-03",160057
"2021-02-04",155025
"2021-02-05",151460
"2021-02-06",148590
"2021-02-07",148766
"2021-02-08",148609
"2021-02-09",143625
"2021-02-10",141511
"2021-02-11",142562
"2021-02-12",135926
"2021-02-13",136571
"2021-02-14",137567
"2021-02-15",139637
"2021-02-16",136872
"2021-02-17",136549
"2021-02-18",137342
"2021-02-19",139542
"2021-02-20",143127
"2021-02-21",145634
"2021-02-22",150055
"2021-02-23",147306
"2021-02-24",146907
"2021-02-25",151708
"2021-02-26",155986
"2021-02-27",159590
"2021-02-28",164511
"2021-03-01",168627
"2021-03-02",168358
"2021-03-03",170126
"2021-03-04",173413
"2021-03-05",176319
"2021-03-06",180304
"2021-03-07",184523
"2021-03-08",188747
"2021-03-09",187462
"2021-03-10",184598
"2021-03-11",189226
"2021-03-12",197237
"2021-03-13",202022
"2021-03-14",210544
"2021-03-15",219262
"2021-03-16",223432
"2021-03-17",234406
"2021-03-18",252364
"2021-03-19",271282
"2021-03-20",288394
"2021-03-21",309087
"2021-03-22",334646
"2021-03-23",345377
"2021-03-24",368457
"2021-03-25",395192
"2021-03-26",421066
"2021-03-27",452647
"2021-03-28",486310
"2021-03-29",521808
"2021-03-30",540720
"2021-03-31",552566
"2021-04-01",584046
"2021-04-02",614696
"2021-04-03",658909
"2021-04-04",691597
"2021-04-05",741830
"2021-04-06",788223
"2021-04-07",843473
"2021-04-08",910319
"2021-04-09",979608
"2021-04-10",1046631
"2021-04-11",1108087
"2021-04-12",1201009
"2021-04-13",1264698
"2021-04-14",1365704
"2021-04-15",1471877
"2021-04-16",1569743
"2021-04-17",1679740
"2021-04-18",1801316
"2021-04-19",1929329
"2021-04-20",2031977
"2021-04-21",2157538
"2021-04-22",2291428
"2021-04-23",2428616
"2021-04-24",2552940
"2021-04-25",2682751
"2021-04-26",2813658
"2021-04-27",2882204
"2021-04-28",2978709
"2021-04-29",3084814
"2021-04-30",3170228
"2021-05-01",3268710
"2021-05-02",3349644
"2021-05-03",3413642
"2021-05-04",3447133
"2021-05-05",3487229
"2021-05-06",3566398
"2021-05-07",3645164
"2021-05-08",3723446
"2021-05-09",3736648
"2021-05-10",3745237
"2021-05-11",3715221
