id,title,date,url
NDTV-2605154,"11,466 Fresh COVID-19 Cases In India, 13.2% Higher Than Yesterday: 10 Points",2021-11-10T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-11-466-fresh-covid-19-cases-in-india-13-2-higher-than-yesterday-2605154
NDTV-2605104,"Covishield, Covaxin Recognised By 96 Countries, Says Health Minister",2021-11-10T00:00:00+05:30,https://www.ndtv.com/india-news/covid-19-vaccine-covishield-covaxin-recognised-by-96-countries-says-health-minister-mansukh-mandaviya-2605104
NDTV-2605069,"Coronavirus Highlights: Over 3.43 Crore Covid Cases In India So Far, 4.61 Lakh Deaths",2021-11-11T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-india-live-updates-over-3-43-crore-covid-cases-in-india-so-far-4-61-lakh-deaths-2605069
NDTV-2603878,"10,126 Fresh Covid Cases In India, Lowest Daily Rise Since Early February: 10 Points",2021-11-09T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-10-126-fresh-covid-19-cases-in-india-in-24-hours-lowest-single-day-rise-since-early-february-2603878
NDTV-2603745,"Coronavirus Highlights: India Reports 10,126 New Cases, 332 Deaths In Last 24 Hours",2021-11-10T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-india-live-updates-over-3-63-crore-covid-cases-reported-in-india-so-far-2603745
NDTV-2602957,"Data Shows Drop In Daily Covid Vaccinations Over Last Few Months",2021-11-08T00:00:00+05:30,https://www.ndtv.com/india-news/data-shows-drop-in-daily-covid-vaccinations-over-last-few-months-2602957
NDTV-2602917,"2 Arrested For Running Hookah Cafe, Flouting Covid Rules In Delhi: Police",2021-11-08T00:00:00+05:30,https://www.ndtv.com/india-news/delhi-coronavirus-update-two-arrested-for-illegally-running-hookah-cafe-flouting-covid-rules-2602917
NDTV-2602615,"11,451 Fresh COVID-19 Cases In India, 5.5% Higher Than Yesterday: 10 Points",2021-11-08T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-11-451-fresh-covid-19-cases-in-india-5-5-higher-than-yesterday-2602615
NDTV-2602527,"Coronavirus India Highlights: India Logs 11,451 New COVID-19 Cases, 266 Deaths",2021-11-09T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-india-live-updates-india-reports-10-853-new-covid-cases-526-deaths-2602527
NDTV-2601882,"Over 15.77 Crore Balance Vaccine Doses Still Available With States: Centre",2021-11-07T00:00:00+05:30,https://www.ndtv.com/india-news/over-15-77-crore-balance-vaccine-doses-still-available-with-states-centre-2601882
NDTV-2601686,"10,853 Fresh Covid Cases In India, Marginally Lower Than Yesterday: 10 Points",2021-11-07T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-10-853-fresh-covid-19-cases-in-india-in-last-24-hours-marginally-lower-than-yesterday-2601686
